x	y1	y2	y3	y4	y5
0.07	0.310205598	0.375757038	0.397966068	0.420175098	0.485726538
0.08	0.297840518	0.372311321	0.397667706	0.42302409	0.497494894
0.09	0.285619411	0.368836203	0.397329832	0.42582346	0.509040253
0.1	0.273562435	0.365333025	0.396952547	0.42857207	0.52034266
0.11	0.261688798	0.361803133	0.396535966	0.431268799	0.531383134
0.12	0.25001668	0.358247877	0.396080212	0.433912547	0.542143744
0.13	0.238563158	0.354668607	0.395585421	0.436502234	0.552607684
0.14	0.227344154	0.351066676	0.395051741	0.439036805	0.562759328
0.15	0.216374373	0.347443436	0.394479331	0.441515226	0.572584289
0.16	0.205667266	0.343800239	0.393868362	0.443936485	0.582069457
0.17	0.195234995	0.340138434	0.393219015	0.446299596	0.591203034
0.18	0.185088406	0.336459369	0.392531483	0.448603597	0.59997456
0.19	0.175237017	0.332764389	0.391805971	0.450847554	0.608374925
0.2	0.165689012	0.329054833	0.391042694	0.453030555	0.616396376
0.21	0.156451241	0.325332038	0.390241878	0.455151717	0.624032514
0.22	0.147529239	0.321597332	0.389403759	0.457210186	0.631278278
0.23	0.138927238	0.317852038	0.388528585	0.459205133	0.638129932
0.24	0.130648202	0.314097471	0.387616615	0.461135759	0.644585029
0.25	0.122693857	0.310334939	0.386668117	0.463001295	0.650642377
0.26	0.115064738	0.306565738	0.385683369	0.464801	0.656302
0.27	0.107760237	0.302791158	0.384662661	0.466534165	0.661565086
0.28	0.100778652	0.299012475	0.383606292	0.468200109	0.666433932
0.29	0.094117253	0.295230957	0.382514571	0.469798185	0.670911888
0.3	0.08777234	0.291447856	0.381387815	0.471327775	0.675003291
0.31	0.08173931	0.287664415	0.380226355	0.472788295	0.678713399
0.32	0.076012728	0.28388186	0.379030526	0.474179192	0.682048324
0.33	0.070586396	0.280101407	0.377800677	0.475499946	0.685014957
0.34	0.065453426	0.276324254	0.376537162	0.476750069	0.687620897
0.35	0.060606314	0.272551585	0.375240347	0.477929109	0.68987438
0.36	0.05603701	0.268784567	0.373910605	0.479036644	0.691784201
0.37	0.051736995	0.265024351	0.372548319	0.480072287	0.693359644
0.38	0.047697347	0.261272072	0.371153879	0.481035687	0.694610412
